Bocquentin 2007,"Bocquetlin, F., 2007. A Final Natufian Population: Health and Burial Status at Eynan-Mallaha. In: M. Faerman, L.K. Horvitz, T. Kahana, U. Zilberman (Eds.), Faces from the Past. Diachronic Patterns in the Biology of Human Populations from the Eastern Mediterranean. In honour of Patricia Smith (BAR International Series 1603). Oxford: Archeopress, 66-81. ",,,,,,
Bonani & Wölfli 1991,"Bonani G, Wölfli W., 1991. Radiocarbon dates from area B. In: Kempinski, A. and Niemeier, W.D. (Eds.), Excavations at Kabri: Preliminary Report of 1990 Season 5. Tell Aviv: Tell Kabri Expedition Tel Aviv University, 8. ",,,,,,
Borell et al. 2019,"Borrell, F., Bocquentin, F., Gibaja, J. F., & Khalaily, H. (2019). Defining the Final PPNB/PPNC in the Southern Levant: insights from the chipped stone industries of Beisamoun. In Near Eastern Lithic Technologies on the Move: Interactions and Contexts in Neolithic Traditions: 8th International Conference on PPN Chipped and Ground Stone Industries of the Near East, Nicosia, November 23rd-27th 2016 (Vol. 33, pp. 381-400).",,,,,,
Borrell et al. 2005,"Borrell, F., Boaretto, E., Caracuta, V., Cohen-Sasson, E., Lavi, R., Lpui, R., Teira, L., and Vardi, J., 2015. Nahal Efe A Middle Pre-Pottery Neolithic B Site in the North-eastern Negev Preliminary Results of the 2015 Pilot Season. Neo-Lithics 2/15, 33-41. ",,,,,,
Bourke & Zoppi 2007  ,"Bourke, S.J. and Zoppi, U., 2007. Dating the Cultic Assemblages from the Bronze Age Fortress Temple Complex at Pella in Jordan. Progress Report for AINGRA 05013. Sydney: University of Sydney.",,,,,,
Bourke 2007,"Bourke, Stephen J. (2007), 'The Late Neolithic/Early Chalcolithic transition at Teleilat Ghassul: Context, chronology and culture', Paléorient, 33 (1), 15-32.",,,,,,
Bourke et al. 2001,"Bourke, Stephen J., et al. (2001), 'The chronology of the Ghassulian Chalcolithic period in the Southern Levant: New 14C determinations from Teleilat Ghassul, Jordan', Radiocarbon, 43 (3), 1217-22.",,,,,,
Bourke et al. 2004,"Bourke, Stephen J., et al. (2004), 'The end of the Chalcolithic period in the South Jordan Valley: New 14C determinations from Teleilat Ghassul, Jordan', Radiocarbon, 46 (1), 315-23.",,,,,,
Bourke et al. 2009,"Bourke, S., Zoppi, U., Meadows, J., Hua, Q. and Gibbins, S., 2009. The beginning of the Early Bronze Age in the north Jordan Valley: new 14 C determinations from Pella in Jordan. Radiocarbon 51(3), 905-913.",,,,,,
Braun 2001  ,"Braun, E., 2001. Proto, Early Dynastic Egypt, and Early Bronze I-II of the Southern Levant: Some Uneasy 14 C Correlations. Radiocarbon 43(3), 1279-1295.",,,,,,
Braun 2009,"Braun, E. (2009). South Levantine Early Bronze Age chronological correlations with Egypt in light of the Narmer serekhs from Tel Erani and Arad: New interpretations. na.",,,,,,
Braun et al. 2013,"Braun, E., Van Den Brink, E.C., Regev, J., Boaretto, E. and Bar, S., 2013. Aspects of Radiocarbon Determinations and the Dating of the Transition from the Chalcolithic Period to Early Bronze Age I in the Southern Levant. Paléorient 39(1), 23-46.",,,,,,
Broecker & Kulp 1957,"Broecker, W. S., & Kulp, J. L. (1957). Lamont natural radiocarbon measurements IV. Science, 126(3287), 1324-1334.",,,,,,
Bronk Ramsey et al. 2002,"Bronk Ramsey, C., Higham, T.F., Owen, D.C., Pike, A.W.G. and Hedges, R.E., 2002. Radiocarbon dates from the Oxford AMS system: Archaeometry datelist 31. Archaeometry, 44, pp.1-150.",,,,,,
Bronk Ramsey et al. 2009,"Bronk Ramsey, C., Higham, T. F. G., Brock, F., Baker, D., & Ditchfield, P., 2009. Radiocarbon dates from the oxford ams system: archaeometry datelist 33. Archaeometry 51(2), 323-349.",,,,,,
Bronk Ramsey et al. 2015,"Bronk Ramsey, C., Higham, T., Brock, F., Baker, D., Ditchfield, P., & Staff, R., 2015. Radiocarbon Dates from the Oxford AMS System: Archaeometry Datelist 35. Archaeometry, 57(1), 177-216.",,,,,,
Bronk-Ramsey et al. 2002  ,"Bronk Ramsey, C., Higham, T.F., Owen, D.C., Pike, A.W.G. and Hedges, R.E., 2002. Radiocarbon dates from the Oxford AMS system: Archaeometry datelist 31. Archaeometry, 44, pp.1-150.",,,,,,
Bruins & Van Der Plicht 1995,"Bruins, H.J., and Van Der Plicht, J., 1995. Tell Es-Sultan (Jericho): radiocarbon results of short-lived cereal and multiyear charcoal samples from the end of the Middle Bronze Age. Radiocarbon, 37(2), pp.213-220",,,,,,
Bruins & Van Der Plicht 1997,"Bruins, H.J., and Van Der Plicht, J., 1997. Early Bronze Jericho: high-precision 14 C dates of short-lived palaeobotanic remains. Radiocarbon, 40(2), 621-628.",,,,,,
Bruins et al. 2005,"Bruins, H.J., and Van Der Plicht, J., 2005. Desert Settlement through the Iron Age: Radiocarbon dates from Sinai and the Negev Highlands. In: T. E. Levy, and T. Higham (eds.), The Bible and Radiocarbon Dating. London; Oakville, CT : Equinox, 349-366. ",,,,,,
Bruins et al. 2007,"Bruins, H.J., Mazar, A. and van der Plight, J., 2007. The end of the 2nd millennium BCE and the transition from Iron I to Iron IIA: radiocarbon dates of Tel Rehov, Israel (Vol. 37, pp. 79-100). Verlag der Österreichischen Akademie der Wissenschaften.",,,,,,
Burke et al. 2017,"Burke, A.A., Peilstöcker, M., Karoll, A., Pierce, G.A., Kowalski, K., Ben-Marzouk, N., Damm, J.C., Danielson, A.J., Fessler, H.D., Kaufman, B., and Pierce, K.V., 2017. Excavations of the New Kingdom fortress in Jaffa, 2011–2014: traces of resistance to Egyptian rule in Canaan. American Journal of Archaeology, 121(1), 85-133.",,,,,,
Burleigh 1981,"Burleigh, R., 1981. Appendix C: Radiocarbon dates. In: Kenyon, K. M. (Ed.), Excavations at Jericho. Volume 3. The Architecture and Stratigraphy of the Tell. London: The British School of Archaeology in Jerusalem, 501-504. ",,,,,,
Burleigh 1983,"Burleigh, R., 1983. Appendix D: Radiocarbon dates. In: Kenyon, K. M. AND Holland T. A. (Eds.), Excavations at Jericho. Volume 5. The Pottery Phases of the Tell and Other Finds. London: The British School of Archaeology in Jerusalem, 760-765. ",,,,,,
Burleigh 1984,"Burleigh, R., 1984. Additional radiocarbon dates for Jericho. Excavations at Jericho, 5, pp.760-765.",,,,,,
Burleigh et al. 1982,"Burleigh, R., Ambers, J. and Matthews, K., 1982. British Museum natural radiocarbon measurements XV. Radiocarbon, 24(3), pp.262-290.",,,,,,
Burton & Levi 2001,"Burton, M., and Levy, T.E., 2001. The Chalcolithic radiocarbon record and its use in southern Levantine archaeology. Radiocarbon, 43(3), 1223-1246.",,,,,,
Burton & Levy 2011,"Burton, M. and Levy, T.E., 2011. The end of the Chalcolithic period (4500–3600) in the northern Negev Desert, Israel. In: J. L. Lovell and Y. M. Rowan (Eds.), Culture, Chronology and the Chalcolithic. Theory and Transition. Oxford: Oxbow, 178-191.",,,,,,
Burton et al. 2021,"Burton, M.M., Quinn, P.S., Bennallack, K., Farahani, A., Howland, M.D., Najjar, M. and Levy, T.E., 2021. Ceramic technology at Wadi Fidan 61, an early Pottery Neolithic site (ca. 6500 BCE) in the Faynan region of southern Jordan. Journal of Archaeological Science: Reports, 38, p.103029.",,,,,,
Byrd & Garrard 1990,"Byrd, B., & Garrard, A. (1990). The last Glacial maximum in the Jordanian Desert. Unwin and Hyman.",,,,,,
Byrd 1988,"Byrd, B.F., 1988. The Natufian of Beidha: report on renewed field research. In. A. Garrard (ed.), The Prehistory of Jordan: The State of Research in 1986 (Bar International Series 396). Oxford: BAR, p.175-196. ",,,,,,
Byrd 1989,"Byrd, B.F., 1989. The Natufian: settlement variability and economic adaptations in the Levant at the end of the Pleistocene. Journal of World Prehistory 3(2), pp.159-197.",,,,,,
Byrd 1994,"Byrd, B. F., 1994. Later Quaternary hunter-gatherer complexes in the Levant between 20,000 and 10,000 BP', in Ofer Bar-Yosef and R. S. Kra (eds.), Late Quaternary chronology and paleoclimates of the Eastern Mediterranean (Tucson, Arizona: Radiocarbon), 205-26.",,,,,,
Byrd 2005,"Byrd, B. 2005. Early village life at Beidha, Jordan: Neolithic spatial organization and vernacular architecture. The excavations of Mrs. Diana Kirkbride-Helbaek. Oxford: Oxford University Press.",,,,,,
Callaway & Weinstein 1977 ,"Callaway, J. A., & Weinstein, J. M. (1977). Radiocarbon dating of Palestine in the Early Bronze age. Bulletin of the American Schools of Oriental Research, 225(1), 1-16.",,,,,,
CalPal: Weninger 2006,"Weninger, B., 2006. Cologne radiocarbon calibration & paleoclimate research package. http://www. calpal. de/.",,,,,,
caracuta et al. 2015,"Caracuta, V., Barzilai, O., Khalaily, H., Milevski, I., Paz, Y., Vardi, J., ... & Boaretto, E. (2015). The onset of faba bean farming in the Southern Levant. Scientific reports, 5, 14370.",,,,,,
Caracuta et al. 2016,"Caracuta, V., Weinstein-Evron, M., Yeshurun, R., Kaufman, D., Tsatskin, A., and Boaretto, E., 2016. Charred wood remains in the natufian sequence of el-Wad terrace (Israel): New insights into the climatic, environmental and cultural changes at the end of the Pleistocene. Quaternary Science Reviews, 131, 20-32.",,,,,,
Caracuta et al. 2017,"Caracuta, V., Vardi, J., Paz, Y. and Boaretto, E., 2017. Farming legumes in the pre-pottery Neolithic: New discoveries from the site of Ahihud (Israel). Plos one, 12(5), p.e0177859.",,,,,,
Carmi & Segal 1992,"Carmi, I. and Segal, D., 1992. Rehovot Radiocarbon Measurements IV 1. Radiocarbon 34(1), pp.115-132.",,,,,,
Carmi & Segal 1995,"Carmi, Y. and Segal, D., 1995. How old is the shipwreck from Tantura Lagoon. The radiocarbon evidence. INA Quarterly, 22(2), p.12.",,,,,,
Carmi & Segal 2000  ,"Carmi I, Segal D. 2000. Radiocarbon dates. In: I. Finkelstein, D. Ussishkin, B. Halpern (Eds.), Megiddo III: The 1992–1996 Seasons. Tel Aviv: Tel Aviv University, 502-503.",,,,,,
Carmi & Segal 2004,"Carmi, I. and Segal, D. (1994), '14C dates of olive stone from an underwater site at Kfar Samir', Mitekufat Haeven/Journal of the Israel Prehistoric Society, 26, 146-47.",,,,,,
Carmi & Ussishkin 2004,"Carmi I, Ussishkin D. 2004. The renewed archaeological excavations at Lachish (1973–1994). In: D.  Ussishkin (Ed.), Monograph Series of the Sonia and Marco Nadler Institute of Archaeology. Tel Aviv 22, 2508–13.",,,,,,
Carmi 1987,"Carmi, I., 1987. Rehovot radiocarbon measurements III. Radiocarbon, 29 (1), 100-114.",,,,,,
Carmi et al. 1994,"Carmi, I., et al. (1994), 'Dating the Prehistoric Site Nahal-Issaron in the Southern Negev, Israel', Radiocarbon, 36 (3), 391-98.",,,,,,
Carmi et al. 1995,"Carmi, Y. and Segal, D., 1995. How old is the shipwreck from Tantura Lagoon. The radiocarbon evidence. INA Quarterly, 22(2), p.12.",,,,,,
Chernoff & Paley 1998,"Chernoff, M. C., & Paley, S. M. (1998). Dynamics of cereal production at Tell el Ifshar, Israel during the Middle Bronze Age. Journal of Field Archaeology, 25(4), 397-416.",,,,,,
Chinzei 1970,"Chinzei, K. (1970). The Amud Cave site and its deposits. The Amud man and his cave site, 21-52.",,,,,,
Clare 2010,"Clare, L., 2010. Pastoral clashes: Conflict risk and mitigation at the Pottery Neolithic transition in the Southern Levant. Neo-Lithics, 1(10), pp.13-31.",,,,,,
Cohen 1999,"Cohen, R., 1999. Ancient settlement of the central Negev. chemical analysis, 78(7.9), pp.1-4.",,,,,,
Conrad 2002,"Conrad, N., 2002. An overview of the recent excavations at Baaz Rockshekter, Damascus Province, Syria. In: Korfmann, M. and Aslan, R. (Eds.), Mauerschau: Festschrift für Manfred Korfmann. Remshalden-Grunback: Greiner, vol.2, 623-640. ",,,,,,
CONTEXT: Böhner & Schyle 2006,"Böhner, U. and Schyle, D., 2006. Radiocarbon CONTEXT database 2002-2006.",,,,,,
Crew 1976 ,"Crew, H. L. (1976). The Mousterian site of Rosh Ein Mor. Prehistory and paleoenvironments in the Central Negev, Israel, 1(Part 1), 75-112.",,,,,,
Daly et al. 2018,"Daly, K. G., Delser, P. M., Mullin, V. E., Scheu, A., Mattiangeli, V., Teasdale, M. D., ... & Kehati, R. (2018). Ancient goat genomes reveal mosaic domestication in the Fertile Crescent. Science, 361(6397), 85-88.",,,,,,
Davis & Valla 1978,"Davis, S.J. and Valla, F.R., 1978. Evidence for domestication of the dog 12,000 years ago in the Natufian of Israel. Nature, 276(5688), pp.608-610.",,,,,,
De Contenson 1975,"De Contenson, H., 1975. Les fouilles à Ghoraifé en 1974. Annales Archéologiques de Syrie,  25, 17-32. ",,,,,,
De Contenson 1977,"De Contenson, H., 1977. Le néolithique de Ras Shamra V d'après les campagnes 1972-1976 dans le sondage SH. Syria, 1-23.",,,,,,
De Contenson 1992,"De Contenson, H., 1992. Les Coutumes Funéraires dans le Néolithique Syrien. Bulletin de la Société Préhistorique Française 89(6): 184-191.",,,,,,
Dever 1986,"Dever, W. G. (1986). Late Bronze Age and Solomonic defenses at Gezer: new evidence. Bulletin of the American Schools of Oriental Research, 262(1), 9-34.",,,,,,
DeVries & Waterbolk 1958,"De Vries, H., & Waterbolk, H. T. (1958). Groningen radiocarbon dates III. Science, 128(3338), 1550-1556.",,,,,,
Doudna 2006,"Doudna, G. L. (2006). The Legacy of an Error in Archaeological Interpretation: the Dating of the Qumran Cave Scroll Deposits. In Qumran: The Site of the Dead Sea Scrolls: Archaeological Interpretations and Debates (pp. 147-157). Brill.",,,,,,
